Image, TS, Inference, Score, Temperature, Humidity
clipped_image_June-14-2023T09-53-47.ppm, June-14-2023T09-53-47,0,0.9804,26.906,80.708
clipped_image_June-14-2023T09-57-26.ppm, June-14-2023T09-57-26,0,0.9531,26.96,80.357
clipped_image_June-14-2023T11-44-58.ppm, June-14-2023T11-44-58,0,0.875,38.446,47.237
clipped_image_June-14-2023T11-48-37.ppm, June-14-2023T11-48-37,0,0.9062,42.768,39.181
clipped_image_June-14-2023T11-52-16.ppm, June-14-2023T11-52-16,0,0.914,43.948,36.617
clipped_image_June-14-2023T11-55-55.ppm, June-14-2023T11-55-55,0,0.9335,43.208,37.807
clipped_image_June-14-2023T11-59-35.ppm, June-14-2023T11-59-35,0,0.9726,43.551,37.487
clipped_image_June-14-2023T12-03-14.ppm, June-14-2023T12-03-14,0,0.957,44.334,37.487
clipped_image_June-14-2023T12-06-53.ppm, June-14-2023T12-06-53,0,0.9648,44.506,37.647
clipped_image_June-14-2023T12-10-32.ppm, June-14-2023T12-10-32,0,0.9687,45.739,36.625
clipped_image_June-14-2023T12-14-11.ppm, June-14-2023T12-14-11,0,0.9726,46.801,35.213
clipped_image_June-14-2023T12-17-51.ppm, June-14-2023T12-17-51,0,0.9453,47.82,33.573
clipped_image_June-14-2023T12-21-30.ppm, June-14-2023T12-21-30,0,0.9726,48.828,32.665
clipped_image_June-14-2023T12-25-09.ppm, June-14-2023T12-25-09,0,0.9765,49.922,31.673
clipped_image_June-14-2023T12-28-48.ppm, June-14-2023T12-28-48,0,0.9687,50.641,31.376
clipped_image_June-14-2023T12-32-27.ppm, June-14-2023T12-32-27,0,0.9765,51.231,30.247
clipped_image_June-14-2023T12-36-06.ppm, June-14-2023T12-36-06,0,0.9687,51.338,30.346
clipped_image_June-14-2023T12-39-45.ppm, June-14-2023T12-39-45,0,0.9101,50.147,31.62
clipped_image_June-14-2023T12-43-24.ppm, June-14-2023T12-43-24,0,0.9531,49.139,32.986
clipped_image_June-14-2023T12-47-04.ppm, June-14-2023T12-47-04,0,0.9609,49,33.222
clipped_image_June-14-2023T12-50-43.ppm, June-14-2023T12-50-43,0,0.9726,49.536,32.604
clipped_image_June-14-2023T12-54-22.ppm, June-14-2023T12-54-22,0,0.9765,50.855,31.475
clipped_image_June-14-2023T12-58-01.ppm, June-14-2023T12-58-01,0,0.9804,50.898,30.178
clipped_image_June-14-2023T13-01-40.ppm, June-14-2023T13-01-40,0,0.9687,49.976,30.483
clipped_image_June-14-2023T13-05-19.ppm, June-14-2023T13-05-19,0,0.9765,49.075,31.017
clipped_image_June-14-2023T13-08-58.ppm, June-14-2023T13-08-58,0,0.9765,48.892,30.712
clipped_image_June-14-2023T13-12-38.ppm, June-14-2023T13-12-38,0,0.9765,48.431,31.086
clipped_image_June-14-2023T13-16-17.ppm, June-14-2023T13-16-17,0,0.9726,47.895,31.582
clipped_image_June-14-2023T13-19-56.ppm, June-14-2023T13-19-56,0,0.9726,48.324,31.376
clipped_image_June-14-2023T13-23-35.ppm, June-14-2023T13-23-35,0,0.9726,48.603,31.734
clipped_image_June-14-2023T13-27-14.ppm, June-14-2023T13-27-14,0,0.9687,49.032,32.269
clipped_image_June-14-2023T13-30-53.ppm, June-14-2023T13-30-53,0,0.957,49.879,31.757
clipped_image_June-14-2023T13-34-32.ppm, June-14-2023T13-34-32,0,0.9609,49.236,31.078
clipped_image_June-14-2023T13-38-12.ppm, June-14-2023T13-38-12,0,0.9609,49.472,32.185
clipped_image_June-14-2023T13-41-51.ppm, June-14-2023T13-41-51,0,0.9687,51.295,31.055
clipped_image_June-14-2023T13-45-30.ppm, June-14-2023T13-45-30,0,0.9648,52.871,29.301
clipped_image_June-14-2023T13-49-09.ppm, June-14-2023T13-49-09,0,0.9531,53.644,28.69
clipped_image_June-14-2023T13-52-48.ppm, June-14-2023T13-52-48,0,0.9531,53.654,28.606
clipped_image_June-14-2023T13-56-27.ppm, June-14-2023T13-56-27,0,0.9531,53.504,28.889
clipped_image_June-14-2023T14-00-06.ppm, June-14-2023T14-00-06,0,0.9492,54.083,28.858
clipped_image_June-14-2023T14-03-46.ppm, June-14-2023T14-03-46,0,0.9335,54.587,27.973
clipped_image_June-14-2023T14-07-25.ppm, June-14-2023T14-07-25,0,0.9218,54.77,28.027
clipped_image_June-14-2023T14-11-04.ppm, June-14-2023T14-11-04,0,0.9335,54.888,27.66
clipped_image_June-14-2023T14-14-43.ppm, June-14-2023T14-14-43,0,0.8945,54.738,27.859
clipped_image_June-14-2023T14-18-22.ppm, June-14-2023T14-18-22,0,0.9023,53.483,28.973
clipped_image_June-14-2023T14-22-01.ppm, June-14-2023T14-22-01,0,0.8828,53.097,29.026
clipped_image_June-14-2023T14-25-41.ppm, June-14-2023T14-25-41,0,0.8554,51.917,30.01
clipped_image_June-14-2023T14-29-20.ppm, June-14-2023T14-29-20,0,0.8671,50.759,31.666
clipped_image_June-14-2023T14-32-59.ppm, June-14-2023T14-32-59,0,0.8437,49.75,32.703
clipped_image_June-14-2023T14-36-38.ppm, June-14-2023T14-36-38,0,0.7929,49.375,32.963
clipped_image_June-14-2023T14-40-17.ppm, June-14-2023T14-40-17,0,0.8593,50.716,31.124
clipped_image_June-14-2023T14-43-57.ppm, June-14-2023T14-43-57,0,0.871,50.255,31.162
clipped_image_June-14-2023T14-47-36.ppm, June-14-2023T14-47-36,0,0.7539,49.118,32.444
clipped_image_June-14-2023T14-51-15.ppm, June-14-2023T14-51-15,0,0.7265,49.729,31.826
clipped_image_June-14-2023T14-54-54.ppm, June-14-2023T14-54-54,0,0.7187,49.965,30.941
clipped_image_June-14-2023T14-58-33.ppm, June-14-2023T14-58-33,0,0.6875,50.759,30.415
clipped_image_June-14-2023T15-02-13.ppm, June-14-2023T15-02-13,0,0.8046,49.879,30.132
clipped_image_June-14-2023T15-05-52.ppm, June-14-2023T15-05-52,0,0.7773,47.369,32.284
clipped_image_June-14-2023T15-09-31.ppm, June-14-2023T15-09-31,0,0.789,46.404,33.237
clipped_image_June-14-2023T15-13-10.ppm, June-14-2023T15-13-10,0,0.8007,45.546,35
clipped_image_June-14-2023T15-16-49.ppm, June-14-2023T15-16-49,0,0.7265,44.463,36.213
clipped_image_June-14-2023T15-20-29.ppm, June-14-2023T15-20-29,0,0.7539,44.592,36.297
clipped_image_June-14-2023T15-24-08.ppm, June-14-2023T15-24-08,0,0.7382,43.819,37.266
clipped_image_June-14-2023T15-27-47.ppm, June-14-2023T15-27-47,0,0.7968,42.801,38.83
clipped_image_June-14-2023T15-31-26.ppm, June-14-2023T15-31-26,0,0.7187,43.101,38.799
clipped_image_June-14-2023T15-35-06.ppm, June-14-2023T15-35-06,0,0.7695,43.508,38.586
clipped_image_June-14-2023T15-38-45.ppm, June-14-2023T15-38-45,0,0.7539,44.227,38.052
clipped_image_June-14-2023T15-42-24.ppm, June-14-2023T15-42-24,0,0.7265,44.989,37.418
clipped_image_June-14-2023T15-46-03.ppm, June-14-2023T15-46-03,0,0.7265,45.096,37.617
clipped_image_June-14-2023T15-49-43.ppm, June-14-2023T15-49-43,0,0.6367,46.393,36.839
clipped_image_June-14-2023T15-53-22.ppm, June-14-2023T15-53-22,0,0.7617,48.828,32.749
clipped_image_June-14-2023T15-57-01.ppm, June-14-2023T15-57-01,0,0.6679,48.142,33.39
clipped_image_June-14-2023T16-00-41.ppm, June-14-2023T16-00-41,0,0.5898,48.185,33.062
clipped_image_June-14-2023T16-04-20.ppm, June-14-2023T16-04-20,0,0.6367,47.841,32.406
clipped_image_June-14-2023T16-07-59.ppm, June-14-2023T16-07-59,0,0.6132,46.587,33.794
clipped_image_June-14-2023T16-11-38.ppm, June-14-2023T16-11-38,0,0.6132,48.152,31.567
clipped_image_June-14-2023T16-15-18.ppm, June-14-2023T16-15-18,0,0.707,49.515,29.652
clipped_image_June-14-2023T16-18-57.ppm, June-14-2023T16-18-57,0,0.625,48.86,30.384
clipped_image_June-14-2023T16-22-36.ppm, June-14-2023T16-22-36,0,0.707,49.203,29.575
clipped_image_June-14-2023T16-26-16.ppm, June-14-2023T16-26-16,0,0.6679,49.439,29.552
clipped_image_June-14-2023T16-29-55.ppm, June-14-2023T16-29-55,0,0.8593,49.429,29.011
clipped_image_June-14-2023T16-33-34.ppm, June-14-2023T16-33-34,0,0.6875,48.892,29.095
clipped_image_June-14-2023T16-37-14.ppm, June-14-2023T16-37-14,0,0.7187,47.949,29.896
clipped_image_June-14-2023T16-40-53.ppm, June-14-2023T16-40-53,0,0.6445,46.983,30.552
clipped_image_June-14-2023T16-44-32.ppm, June-14-2023T16-44-32,1,0.6289,46.351,31.117
clipped_image_June-14-2023T16-48-11.ppm, June-14-2023T16-48-11,1,0.7031,44.956,32.558
clipped_image_June-14-2023T16-51-51.ppm, June-14-2023T16-51-51,1,0.7109,43.412,35.007
clipped_image_June-14-2023T16-55-30.ppm, June-14-2023T16-55-30,1,0.6171,42.114,36.015
clipped_image_June-14-2023T16-59-09.ppm, June-14-2023T16-59-09,1,0.707,40.613,38.235
clipped_image_June-14-2023T17-02-49.ppm, June-14-2023T17-02-49,1,0.7773,39.851,39.44
clipped_image_June-14-2023T17-06-28.ppm, June-14-2023T17-06-28,1,0.7812,39.411,39.486
clipped_image_June-14-2023T17-10-07.ppm, June-14-2023T17-10-07,1,0.789,39.218,40.6
clipped_image_June-14-2023T17-13-47.ppm, June-14-2023T17-13-47,1,0.7968,38.864,41.66
clipped_image_June-14-2023T17-17-26.ppm, June-14-2023T17-17-26,1,0.789,38.5,42.828
clipped_image_June-14-2023T17-21-05.ppm, June-14-2023T17-21-05,1,0.7968,38.242,43.545
clipped_image_June-14-2023T17-24-45.ppm, June-14-2023T17-24-45,1,0.7968,37.878,44.392
clipped_image_June-14-2023T17-28-24.ppm, June-14-2023T17-28-24,1,0.8007,37.695,45.368
clipped_image_June-14-2023T17-32-03.ppm, June-14-2023T17-32-03,1,0.7812,37.513,46.474
clipped_image_June-14-2023T17-35-43.ppm, June-14-2023T17-35-43,1,0.7734,37.213,47.665
clipped_image_June-14-2023T17-39-22.ppm, June-14-2023T17-39-22,1,0.8164,36.966,48.634
clipped_image_June-14-2023T17-43-01.ppm, June-14-2023T17-43-01,1,0.8007,36.741,49.335
clipped_image_June-14-2023T17-46-41.ppm, June-14-2023T17-46-41,1,0.6093,36.494,50.312
clipped_image_June-14-2023T17-50-20.ppm, June-14-2023T17-50-20,1,0.5195,36.462,50.655
clipped_image_June-14-2023T17-53-59.ppm, June-14-2023T17-53-59,1,0.5664,36.441,50.587
clipped_image_June-14-2023T17-57-39.ppm, June-14-2023T17-57-39,1,0.6093,36.183,51.456
clipped_image_June-14-2023T18-01-18.ppm, June-14-2023T18-01-18,1,0.5976,35.883,52.258
clipped_image_June-14-2023T18-04-57.ppm, June-14-2023T18-04-57,1,0.6445,35.69,52.982
clipped_image_June-14-2023T18-08-37.ppm, June-14-2023T18-08-37,1,0.5898,35.357,53.883
clipped_image_June-14-2023T18-12-16.ppm, June-14-2023T18-12-16,1,0.6015,35.089,54.478
clipped_image_June-14-2023T18-15-55.ppm, June-14-2023T18-15-55,1,0.6445,34.832,55.111
clipped_image_June-14-2023T18-19-35.ppm, June-14-2023T18-19-35,1,0.7304,34.607,55.47
clipped_image_June-14-2023T18-23-14.ppm, June-14-2023T18-23-14,1,0.7187,34.274,56.454
clipped_image_June-14-2023T18-26-53.ppm, June-14-2023T18-26-53,1,0.707,33.985,56.904
clipped_image_June-14-2023T18-30-33.ppm, June-14-2023T18-30-33,1,0.8242,33.684,57.98
clipped_image_June-14-2023T18-34-12.ppm, June-14-2023T18-34-12,1,0.8906,33.556,58.3
clipped_image_June-14-2023T18-37-51.ppm, June-14-2023T18-37-51,1,0.875,33.245,58.926
clipped_image_June-14-2023T18-41-31.ppm, June-14-2023T18-41-31,1,0.8593,32.976,59.933
clipped_image_June-14-2023T18-45-10.ppm, June-14-2023T18-45-10,1,0.8359,32.837,60.23
clipped_image_June-14-2023T18-48-50.ppm, June-14-2023T18-48-50,1,0.8789,32.708,60.703
clipped_image_June-14-2023T18-52-30.ppm, June-14-2023T18-52-30,1,0.8398,32.547,61.207
clipped_image_June-14-2023T18-56-09.ppm, June-14-2023T18-56-09,0,0.8242,32.397,61.352
clipped_image_June-14-2023T18-59-48.ppm, June-14-2023T18-59-48,0,0.8632,32.193,61.764
clipped_image_June-14-2023T19-03-28.ppm, June-14-2023T19-03-28,0,0.9062,32.043,62.206
clipped_image_June-14-2023T19-07-07.ppm, June-14-2023T19-07-07,0,0.8671,31.947,62.534
clipped_image_June-14-2023T19-10-46.ppm, June-14-2023T19-10-46,0,0.8593,31.872,62.771
clipped_image_June-14-2023T19-14-24.ppm, June-14-2023T19-14-24,0,0.8242,31.84,62.885
clipped_image_June-14-2023T19-18-03.ppm, June-14-2023T19-18-03,0,0.8203,31.84,62.977
clipped_image_June-14-2023T19-21-41.ppm, June-14-2023T19-21-41,0,0.8125,31.786,63.061
clipped_image_June-14-2023T19-25-20.ppm, June-14-2023T19-25-20,0,0.9218,31.679,63.473
clipped_image_June-14-2023T19-28-58.ppm, June-14-2023T19-28-58,0,0.8242,31.614,63.74
clipped_image_June-14-2023T19-32-37.ppm, June-14-2023T19-32-37,0,0.8359,31.539,63.534
clipped_image_June-14-2023T19-36-15.ppm, June-14-2023T19-36-15,0,0.8164,31.443,64.121
clipped_image_June-14-2023T19-39-54.ppm, June-14-2023T19-39-54,0,0.9218,31.421,64.472
clipped_image_June-14-2023T19-43-32.ppm, June-14-2023T19-43-32,0,0.8359,31.411,64.854
clipped_image_June-14-2023T19-47-11.ppm, June-14-2023T19-47-11,0,0.8515,31.325,64.739
clipped_image_June-14-2023T19-50-50.ppm, June-14-2023T19-50-50,0,0.8632,31.207,65.113
clipped_image_June-14-2023T19-54-28.ppm, June-14-2023T19-54-28,0,0.8242,31.089,65.617
clipped_image_June-14-2023T19-58-07.ppm, June-14-2023T19-58-07,0,0.8593,31.024,65.67
clipped_image_June-14-2023T20-01-45.ppm, June-14-2023T20-01-45,0,0.8281,30.949,66.082
clipped_image_June-14-2023T20-05-24.ppm, June-14-2023T20-05-24,0,0.832,30.949,66.029
clipped_image_June-14-2023T20-09-02.ppm, June-14-2023T20-09-02,0,0.7968,30.982,65.937
clipped_image_June-14-2023T20-12-41.ppm, June-14-2023T20-12-41,0,0.8476,30.971,66.029
clipped_image_June-14-2023T20-16-19.ppm, June-14-2023T20-16-19,0,0.8398,30.971,65.762
clipped_image_June-14-2023T20-19-58.ppm, June-14-2023T20-19-58,0,0.8281,30.917,66.059
clipped_image_June-14-2023T20-23-37.ppm, June-14-2023T20-23-37,0,0.8281,30.939,65.884
clipped_image_June-14-2023T20-27-15.ppm, June-14-2023T20-27-15,0,0.8164,30.874,65.937
clipped_image_June-14-2023T20-30-54.ppm, June-14-2023T20-30-54,0,0.8632,30.81,66.257
clipped_image_June-14-2023T20-34-32.ppm, June-14-2023T20-34-32,0,0.832,30.842,65.876
clipped_image_June-14-2023T20-38-11.ppm, June-14-2023T20-38-11,0,0.8242,30.788,66.052
clipped_image_June-14-2023T20-41-49.ppm, June-14-2023T20-41-49,0,0.832,30.831,65.937
clipped_image_June-14-2023T20-45-28.ppm, June-14-2023T20-45-28,0,0.8828,30.842,65.876
clipped_image_June-14-2023T20-49-06.ppm, June-14-2023T20-49-06,0,0.8203,30.778,65.937
clipped_image_June-14-2023T20-52-45.ppm, June-14-2023T20-52-45,0,0.8398,30.778,66.113
clipped_image_June-14-2023T20-56-23.ppm, June-14-2023T20-56-23,0,0.8281,30.724,66.143
clipped_image_June-14-2023T21-00-02.ppm, June-14-2023T21-00-02,0,0.8593,30.713,66.288
clipped_image_June-14-2023T21-03-41.ppm, June-14-2023T21-03-41,0,0.8203,30.724,66.052
clipped_image_June-14-2023T21-07-19.ppm, June-14-2023T21-07-19,0,0.8437,30.703,66.143
clipped_image_June-14-2023T21-10-58.ppm, June-14-2023T21-10-58,0,0.8359,30.638,66.38
clipped_image_June-14-2023T21-14-36.ppm, June-14-2023T21-14-36,0,0.8242,30.638,66.433
clipped_image_June-14-2023T21-18-15.ppm, June-14-2023T21-18-15,0,0.8867,30.628,66.525
clipped_image_June-14-2023T21-21-53.ppm, June-14-2023T21-21-53,0,0.832,30.617,66.463
clipped_image_June-14-2023T21-25-32.ppm, June-14-2023T21-25-32,0,0.871,30.585,66.525
clipped_image_June-14-2023T21-29-10.ppm, June-14-2023T21-29-10,0,0.8515,30.542,66.669
clipped_image_June-14-2023T21-32-49.ppm, June-14-2023T21-32-49,0,0.8359,30.499,66.868
clipped_image_June-14-2023T21-36-28.ppm, June-14-2023T21-36-28,0,0.8398,30.477,66.868
clipped_image_June-14-2023T21-40-06.ppm, June-14-2023T21-40-06,0,0.8359,30.402,66.921
clipped_image_June-14-2023T21-43-45.ppm, June-14-2023T21-43-45,0,0.8515,30.37,66.975
clipped_image_June-14-2023T21-47-23.ppm, June-14-2023T21-47-23,0,0.8359,30.306,67.219
clipped_image_June-14-2023T21-51-02.ppm, June-14-2023T21-51-02,0,0.8515,30.242,67.44
clipped_image_June-14-2023T21-54-40.ppm, June-14-2023T21-54-40,0,0.832,30.231,67.44
clipped_image_June-14-2023T21-58-19.ppm, June-14-2023T21-58-19,0,0.8085,30.166,67.631
clipped_image_June-14-2023T22-01-57.ppm, June-14-2023T22-01-57,0,0.871,30.102,67.883
clipped_image_June-14-2023T22-05-36.ppm, June-14-2023T22-05-36,0,0.8828,30.07,68.02
clipped_image_June-14-2023T22-09-14.ppm, June-14-2023T22-09-14,0,0.875,30.07,67.715
clipped_image_June-14-2023T22-12-53.ppm, June-14-2023T22-12-53,0,0.8554,29.984,68.203
clipped_image_June-14-2023T22-16-32.ppm, June-14-2023T22-16-32,0,0.8671,29.909,68.401
clipped_image_June-14-2023T22-20-10.ppm, June-14-2023T22-20-10,0,0.8515,29.855,68.638
clipped_image_June-14-2023T22-23-49.ppm, June-14-2023T22-23-49,0,0.8476,29.78,68.775
clipped_image_June-14-2023T22-27-27.ppm, June-14-2023T22-27-27,0,0.8906,29.716,68.996
clipped_image_June-14-2023T22-31-06.ppm, June-14-2023T22-31-06,0,0.9296,29.662,69.019
clipped_image_June-14-2023T22-34-44.ppm, June-14-2023T22-34-44,0,0.9335,29.609,69.378
clipped_image_June-14-2023T22-38-23.ppm, June-14-2023T22-38-23,0,0.8945,29.566,69.492
clipped_image_June-14-2023T22-42-01.ppm, June-14-2023T22-42-01,0,0.8281,29.405,70.011
clipped_image_June-14-2023T22-45-40.ppm, June-14-2023T22-45-40,0,0.8593,29.287,70.385
clipped_image_June-14-2023T22-49-18.ppm, June-14-2023T22-49-18,0,0.8242,29.201,70.606
clipped_image_June-14-2023T22-52-57.ppm, June-14-2023T22-52-57,0,0.8359,29.094,71.011
clipped_image_June-14-2023T22-56-36.ppm, June-14-2023T22-56-36,0,0.8515,29.04,71.171
clipped_image_June-14-2023T23-00-14.ppm, June-14-2023T23-00-14,0,0.8828,29.008,71.224
clipped_image_June-14-2023T23-03-53.ppm, June-14-2023T23-03-53,0,0.8242,28.944,71.278
clipped_image_June-14-2023T23-07-31.ppm, June-14-2023T23-07-31,0,0.8789,28.858,71.69
clipped_image_June-14-2023T23-11-10.ppm, June-14-2023T23-11-10,0,0.871,28.794,71.743
clipped_image_June-14-2023T23-14-48.ppm, June-14-2023T23-14-48,0,0.8437,28.74,71.85
clipped_image_June-14-2023T23-18-27.ppm, June-14-2023T23-18-27,0,0.875,28.643,72.109
clipped_image_June-14-2023T23-22-05.ppm, June-14-2023T23-22-05,0,0.832,28.547,72.361
clipped_image_June-14-2023T23-25-44.ppm, June-14-2023T23-25-44,0,0.8242,28.44,72.765
clipped_image_June-14-2023T23-29-23.ppm, June-14-2023T23-29-23,0,0.8125,28.365,73.01
clipped_image_June-14-2023T23-33-01.ppm, June-14-2023T23-33-01,0,0.8398,28.322,73.109
clipped_image_June-14-2023T23-36-40.ppm, June-14-2023T23-36-40,0,0.875,28.29,73.055
clipped_image_June-14-2023T23-40-18.ppm, June-14-2023T23-40-18,0,0.8632,28.236,73.33
clipped_image_June-14-2023T23-43-57.ppm, June-14-2023T23-43-57,0,0.8554,28.204,73.467
clipped_image_June-14-2023T23-47-35.ppm, June-14-2023T23-47-35,0,0.8554,28.182,73.498
clipped_image_June-14-2023T23-51-14.ppm, June-14-2023T23-51-14,0,0.8281,28.064,73.925
clipped_image_June-14-2023T23-54-52.ppm, June-14-2023T23-54-52,0,0.8203,27.989,74.162
clipped_image_June-14-2023T23-58-31.ppm, June-14-2023T23-58-31,0,0.8085,27.936,74.215
clipped_image_June-15-2023T00-02-09.ppm, June-15-2023T00-02-09,0,0.8398,27.839,74.406
clipped_image_June-15-2023T00-05-48.ppm, June-15-2023T00-05-48,0,0.8515,27.796,74.619
clipped_image_June-15-2023T00-09-27.ppm, June-15-2023T00-09-27,0,0.875,27.764,74.726
clipped_image_June-15-2023T00-13-05.ppm, June-15-2023T00-13-05,0,0.8164,27.71,74.917
clipped_image_June-15-2023T00-16-44.ppm, June-15-2023T00-16-44,0,0.8281,27.71,74.917
clipped_image_June-15-2023T00-20-22.ppm, June-15-2023T00-20-22,0,0.8242,27.7,74.863
clipped_image_June-15-2023T00-24-01.ppm, June-15-2023T00-24-01,0,0.8281,27.667,74.963
clipped_image_June-15-2023T00-27-39.ppm, June-15-2023T00-27-39,0,0.8359,27.625,75.1
clipped_image_June-15-2023T00-31-18.ppm, June-15-2023T00-31-18,0,0.8515,27.603,75.153
clipped_image_June-15-2023T00-34-56.ppm, June-15-2023T00-34-56,0,0.8281,27.571,75.1
clipped_image_June-15-2023T00-38-35.ppm, June-15-2023T00-38-35,0,0.8125,27.528,75.268
clipped_image_June-15-2023T00-42-13.ppm, June-15-2023T00-42-13,0,0.832,27.464,75.619
clipped_image_June-15-2023T00-45-52.ppm, June-15-2023T00-45-52,0,0.914,27.399,75.718
clipped_image_June-15-2023T00-49-31.ppm, June-15-2023T00-49-31,0,0.8437,27.367,75.832
clipped_image_June-15-2023T00-53-09.ppm, June-15-2023T00-53-09,0,0.875,27.303,75.848
clipped_image_June-15-2023T00-56-48.ppm, June-15-2023T00-56-48,0,0.8984,27.249,76.038
clipped_image_June-15-2023T01-00-26.ppm, June-15-2023T01-00-26,0,0.8554,27.238,76.061
clipped_image_June-15-2023T01-04-05.ppm, June-15-2023T01-04-05,0,0.8398,27.217,76.145
clipped_image_June-15-2023T01-07-43.ppm, June-15-2023T01-07-43,0,0.8437,27.185,76.26
clipped_image_June-15-2023T01-11-22.ppm, June-15-2023T01-11-22,0,0.9257,27.185,76.199
